,slot,parent_hash,block_hash,builder_pubkey,proposer_pubkey,proposer_fee_recipient,gas_limit,gas_used,value,num_tx,block_number,timestamp,timestamp_ms,optimistic_submission,relay,builder_label,slot_time,max_bid
0,8307276,0x27b1d46bf600b6ac4cab5d983482b8ad916cbce363b7be0f0a7d42fdef38bdfb,0xcb0f505768b15f62c56c1aa06e4381c104a4b47e76a3860e93ae6d8800ead919,0x97b3d4f7b75314207d700fe2e78ce6ac15da0a325a52a8c86c8a62d2fb199722a2a4a69dbd490fa89c00c0fa99426b8d,0x99f261f3b5ba690e6c67272675f4be5fb355f1644405c5d6e052a58db9a05e8bf6532b5d3fa59ffd0a619aa62eb7c074,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,3529322,8831097908517939,25,19110534,1706511325,1706511325617,False,flashbots,,2617,8831097908517939
1,8307276,0x27b1d46bf600b6ac4cab5d983482b8ad916cbce363b7be0f0a7d42fdef38bdfb,0x329988bd8d21b940f30289db136e47fc317c22a29187c637fca1c852eaff9cde,0x97b3d4f7b75314207d700fe2e78ce6ac15da0a325a52a8c86c8a62d2fb199722a2a4a69dbd490fa89c00c0fa99426b8d,0x99f261f3b5ba690e6c67272675f4be5fb355f1644405c5d6e052a58db9a05e8bf6532b5d3fa59ffd0a619aa62eb7c074,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,4553966,22005053726405168,37,19110534,1706511325,1706511325907,False,flashbots,,2907,22005053726405168
2,8307276,0x27b1d46bf600b6ac4cab5d983482b8ad916cbce363b7be0f0a7d42fdef38bdfb,0x31535c076cb5c87d0319c432dd5c8678534d382f31338bf5d180ba4948a0ef08,0x97b3d4f7b75314207d700fe2e78ce6ac15da0a325a52a8c86c8a62d2fb199722a2a4a69dbd490fa89c00c0fa99426b8d,0x99f261f3b5ba690e6c67272675f4be5fb355f1644405c5d6e052a58db9a05e8bf6532b5d3fa59ffd0a619aa62eb7c074,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,5030953,26604525589850128,45,19110534,1706511326,1706511326212,False,flashbots,,3212,26604525589850128
3,8307276,0x27b1d46bf600b6ac4cab5d983482b8ad916cbce363b7be0f0a7d42fdef38bdfb,0x8565a3a8c7c32600ff1d0331f88c7b7afeafec02031d8487357471e34c988e55,0x97b3d4f7b75314207d700fe2e78ce6ac15da0a325a52a8c86c8a62d2fb199722a2a4a69dbd490fa89c00c0fa99426b8d,0x99f261f3b5ba690e6c67272675f4be5fb355f1644405c5d6e052a58db9a05e8bf6532b5d3fa59ffd0a619aa62eb7c074,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,5356394,26855320231430891,49,19110534,1706511326,1706511326710,False,flashbots,,3710,26855320231430891
4,8307276,0x27b1d46bf600b6ac4cab5d983482b8ad916cbce363b7be0f0a7d42fdef38bdfb,0x5796005155f2244cbc507192daad5ec36b5c39a4c3bbb669054266aebe47be8d,0x97b3d4f7b75314207d700fe2e78ce6ac15da0a325a52a8c86c8a62d2fb199722a2a4a69dbd490fa89c00c0fa99426b8d,0x99f261f3b5ba690e6c67272675f4be5fb355f1644405c5d6e052a58db9a05e8bf6532b5d3fa59ffd0a619aa62eb7c074,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,6672512,26901425425033889,55,19110534,1706511327,1706511327231,False,flashbots,,4231,26901425425033889
5,8307276,0x27b1d46bf600b6ac4cab5d983482b8ad916cbce363b7be0f0a7d42fdef38bdfb,0x36ac1ab15faa41637e8dad74b894d4decfb44cb4796621e95fa6bc3479e70b79,0x8c0d45833884744d8cc4bb3438c3e93bcbc1436a25da5da44cc357e93bc0a7eea1d4664c287c4c63958eedada3846ae8,0x99f261f3b5ba690e6c67272675f4be5fb355f1644405c5d6e052a58db9a05e8bf6532b5d3fa59ffd0a619aa62eb7c074,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,6562153,27532748883719394,56,19110534,1706511327,1706511327577,False,flashbots,EigenPhi,4577,27532748883719394
6,8307276,0x27b1d46bf600b6ac4cab5d983482b8ad916cbce363b7be0f0a7d42fdef38bdfb,0x55c8579c94a8b7e76bef17e083a3fc3c6fdd2eb8ecea7024bf99c2f9a5e75208,0x97b3d4f7b75314207d700fe2e78ce6ac15da0a325a52a8c86c8a62d2fb199722a2a4a69dbd490fa89c00c0fa99426b8d,0x99f261f3b5ba690e6c67272675f4be5fb355f1644405c5d6e052a58db9a05e8bf6532b5d3fa59ffd0a619aa62eb7c074,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,6797069,27861433476614652,58,19110534,1706511327,1706511327727,False,flashbots,,4727,27861433476614652
7,8307276,0x27b1d46bf600b6ac4cab5d983482b8ad916cbce363b7be0f0a7d42fdef38bdfb,0x0d5bf56fefacca9ef5f9ddb2973575e698b686d58d1d6ddbfc6b8c38edb9bfdf,0x8c0d45833884744d8cc4bb3438c3e93bcbc1436a25da5da44cc357e93bc0a7eea1d4664c287c4c63958eedada3846ae8,0x99f261f3b5ba690e6c67272675f4be5fb355f1644405c5d6e052a58db9a05e8bf6532b5d3fa59ffd0a619aa62eb7c074,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,6963326,28095882366215157,60,19110534,1706511328,1706511328117,False,flashbots,EigenPhi,5117,28095882366215157
8,8307276,0x27b1d46bf600b6ac4cab5d983482b8ad916cbce363b7be0f0a7d42fdef38bdfb,0xd4f47c9d7ed766108da26c8db25f2187ddb73cc513f4b14ef6e6704209eb9011,0x97b3d4f7b75314207d700fe2e78ce6ac15da0a325a52a8c86c8a62d2fb199722a2a4a69dbd490fa89c00c0fa99426b8d,0x99f261f3b5ba690e6c67272675f4be5fb355f1644405c5d6e052a58db9a05e8bf6532b5d3fa59ffd0a619aa62eb7c074,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,7261635,28190148817677382,62,19110534,1706511328,1706511328222,False,flashbots,,5222,28190148817677382
9,8307276,0x27b1d46bf600b6ac4cab5d983482b8ad916cbce363b7be0f0a7d42fdef38bdfb,0x74b523462a38103ab8e7cf74614d98353a5b14bdd661db8d84abf7c9ad28938e,0x97b3d4f7b75314207d700fe2e78ce6ac15da0a325a52a8c86c8a62d2fb199722a2a4a69dbd490fa89c00c0fa99426b8d,0x99f261f3b5ba690e6c67272675f4be5fb355f1644405c5d6e052a58db9a05e8bf6532b5d3fa59ffd0a619aa62eb7c074,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,7427811,28202591047677382,66,19110534,1706511328,1706511328722,False,flashbots,,5722,28202591047677382
