,slot,parent_hash,block_hash,builder_pubkey,proposer_pubkey,proposer_fee_recipient,gas_limit,gas_used,value,num_tx,block_number,timestamp,timestamp_ms,optimistic_submission,relay,builder_label,slot_time,max_bid
0,8373202,0xfc95299242a88b90d7a09117f3276bfe1014819e6808e3f13602fbac00ded084,0x946161bde669cc3ad67726c7756328c29a01e322d2bd9370d32632fd99503e16,0x97b3d4f7b75314207d700fe2e78ce6ac15da0a325a52a8c86c8a62d2fb199722a2a4a69dbd490fa89c00c0fa99426b8d,0x8adad60e87cb18b7944d65f0b135d2ddf00ad0be49c26606ca42623c89b3ad2dd67830563c636b552b57fdaf5a5b8120,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,2808449,709983345507245,40,19175784,1707302437,1707302437359,False,flashbots,,2359,709983345507245
1,8373202,0xfc95299242a88b90d7a09117f3276bfe1014819e6808e3f13602fbac00ded084,0xcca80f27e985abe5eb139fad0f8f230ca3b389465e2c95233fce28a0fc4fcb64,0xb68c45a1cadceb2c47a2a42a9768f8b0a293e3bbefc576d3566e72895409376f011656c3cfa5b635b73c4c1d8b727ae8,0x8adad60e87cb18b7944d65f0b135d2ddf00ad0be49c26606ca42623c89b3ad2dd67830563c636b552b57fdaf5a5b8120,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,2870721,834527345507245,41,19175784,1707302437,1707302437429,False,flashbots,,2429,834527345507245
2,8373202,0xfc95299242a88b90d7a09117f3276bfe1014819e6808e3f13602fbac00ded084,0xf4b3d8411a4aab958aad735881bdfa10b7a77c164fccdb27ecc1c0cb7c8c8a1b,0x87cc2536e868aa783afcfd50f5d4e04c1ee88287ff4e565716ef714d0e7dd21f1d4862806dc64719049521410c55068c,0x8adad60e87cb18b7944d65f0b135d2ddf00ad0be49c26606ca42623c89b3ad2dd67830563c636b552b57fdaf5a5b8120,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,662952,3621076786870932,6,19175784,1707302437,1707302437446,,bloxroute_max_profit,,2446,3621076786870932
3,8373202,0xfc95299242a88b90d7a09117f3276bfe1014819e6808e3f13602fbac00ded084,0x09539e0d65120878058cc016411dd8e6bdf7ab7b3d692a92fb2dd0f3808a8772,0xb930da7c6823696bfc7fb4421d4f81861b08eea038bb4a5ba22cce83cdca67c9696866ced2362a58e277bb8a8bb9be19,0x8adad60e87cb18b7944d65f0b135d2ddf00ad0be49c26606ca42623c89b3ad2dd67830563c636b552b57fdaf5a5b8120,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,2891721,875299936625245,42,19175784,1707302437,1707302437544,False,flashbots,"If you build it, they will come.",2544,3621076786870932
4,8373202,0xfc95299242a88b90d7a09117f3276bfe1014819e6808e3f13602fbac00ded084,0xb2c1ff68c572e8d3007b378b4efde3e3408fac41542ba1ce803324279824ee68,0xb211df498dfd8b1956252efa4caa81c351a4dde4a50237b3b62034df1881067aede88886053247450ea41b60cc96df7c,0x8adad60e87cb18b7944d65f0b135d2ddf00ad0be49c26606ca42623c89b3ad2dd67830563c636b552b57fdaf5a5b8120,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,2016854,2165335421777441,30,19175784,1707302437,1707302437653,,bloxroute_max_profit,,2653,3621076786870932
5,8373202,0xfc95299242a88b90d7a09117f3276bfe1014819e6808e3f13602fbac00ded084,0xf83f325ff002fc692761c33ff97f0b530e527c78d17342875bb00aea818b3515,0xb211df498dfd8b1956252efa4caa81c351a4dde4a50237b3b62034df1881067aede88886053247450ea41b60cc96df7c,0x8adad60e87cb18b7944d65f0b135d2ddf00ad0be49c26606ca42623c89b3ad2dd67830563c636b552b57fdaf5a5b8120,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,2181959,2176315137004895,34,19175784,1707302437,1707302437677,,bloxroute_max_profit,,2677,3621076786870932
6,8373202,0xfc95299242a88b90d7a09117f3276bfe1014819e6808e3f13602fbac00ded084,0x0602e1752ba4db41c7bec5536aae74a95557b4dbe810c41dc26f19835061d949,0xb211df498dfd8b1956252efa4caa81c351a4dde4a50237b3b62034df1881067aede88886053247450ea41b60cc96df7c,0x8adad60e87cb18b7944d65f0b135d2ddf00ad0be49c26606ca42623c89b3ad2dd67830563c636b552b57fdaf5a5b8120,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,3152895,2215725855063102,42,19175784,1707302437,1707302437693,,bloxroute_max_profit,,2693,3621076786870932
7,8373202,0xfc95299242a88b90d7a09117f3276bfe1014819e6808e3f13602fbac00ded084,0x24c0701ff7f013922dc843b66b9b4579abf9bc422ae9a57b93c3d9f05361b2c9,0xb211df498dfd8b1956252efa4caa81c351a4dde4a50237b3b62034df1881067aede88886053247450ea41b60cc96df7c,0x8adad60e87cb18b7944d65f0b135d2ddf00ad0be49c26606ca42623c89b3ad2dd67830563c636b552b57fdaf5a5b8120,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,2303004,4864785309777641,32,19175784,1707302437,1707302437759,,bloxroute_max_profit,,2759,4864785309777641
8,8373202,0xfc95299242a88b90d7a09117f3276bfe1014819e6808e3f13602fbac00ded084,0x20c54ae56e9ed826669fa99dc144538fed6c0592e19989b09fa56caefc97fc0d,0x87cc2536e868aa783afcfd50f5d4e04c1ee88287ff4e565716ef714d0e7dd21f1d4862806dc64719049521410c55068c,0x8adad60e87cb18b7944d65f0b135d2ddf00ad0be49c26606ca42623c89b3ad2dd67830563c636b552b57fdaf5a5b8120,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,672596,3696864088312057,6,19175784,1707302437,1707302437775,,bloxroute_max_profit,,2775,4864785309777641
9,8373202,0xfc95299242a88b90d7a09117f3276bfe1014819e6808e3f13602fbac00ded084,0xa9f867233dd72d7d286e4f47b706dc97774b2cd07bfbf0d77658c1cf3755d041,0xa412c4b805440c136826ddc569ffbf4539f0f89bf2801678250b683adbed090b292ea76e04909e4f2cd86ca4883b9504,0x8adad60e87cb18b7944d65f0b135d2ddf00ad0be49c26606ca42623c89b3ad2dd67830563c636b552b57fdaf5a5b8120,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,1910530,2112173421777441,29,19175784,1707302437,1707302437817,,bloxroute_regulated,,2817,4864785309777641
