,slot,parent_hash,block_hash,builder_pubkey,proposer_pubkey,proposer_fee_recipient,gas_limit,gas_used,value,num_tx,block_number,timestamp_ms,timestamp,relay,builder_label,slot_time,max_bid,optimistic_submission
0,8342609,0xb7edb6512ee0b1319868ca798b6749ba786cbb38ac7c7e60ce47ab5e9efe3bf2,0x8b00281c1b1befad46f6ea49e3caf95e01df884ef5254bad1879192d762a14fd,0x87cc2536e868aa783afcfd50f5d4e04c1ee88287ff4e565716ef714d0e7dd21f1d4862806dc64719049521410c55068c,0x8bcf965a2fff260823c7c330d8ce65bc499152d87fb93c1357a513d4566e35f45ae79eba142b96fed851cdadcf7e1bb4,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,882954,4670456576623949,11,19145533,1706935321798,1706935321,bloxroute_max_profit,,2798,4670456576623949,
1,8342609,0xb7edb6512ee0b1319868ca798b6749ba786cbb38ac7c7e60ce47ab5e9efe3bf2,0x8b00281c1b1befad46f6ea49e3caf95e01df884ef5254bad1879192d762a14fd,0xa9bd259c09a526915575d096fd659d1e207caa94c7f92d584d256a5090dd5d81369e8fe67b8cc89b87199084aa42e20a,0x8bcf965a2fff260823c7c330d8ce65bc499152d87fb93c1357a513d4566e35f45ae79eba142b96fed851cdadcf7e1bb4,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,882954,4670456576623949,11,19145533,1706935321826,1706935321,bloxroute_regulated,,2826,4670456576623949,
2,8342609,0xb7edb6512ee0b1319868ca798b6749ba786cbb38ac7c7e60ce47ab5e9efe3bf2,0x1d45749c5a98b31f1b39869bc8290306bbaa66a71f42617b162f1cc19defc127,0x87cc2536e868aa783afcfd50f5d4e04c1ee88287ff4e565716ef714d0e7dd21f1d4862806dc64719049521410c55068c,0x8bcf965a2fff260823c7c330d8ce65bc499152d87fb93c1357a513d4566e35f45ae79eba142b96fed851cdadcf7e1bb4,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,896508,4903812586254709,11,19145533,1706935321827,1706935321,bloxroute_max_profit,,2827,4903812586254709,
3,8342609,0xb7edb6512ee0b1319868ca798b6749ba786cbb38ac7c7e60ce47ab5e9efe3bf2,0xcdc94cc117b687bf42226551ae5729a24aea34c5faa591f005fb0c72860d5b94,0xa9bd259c09a526915575d096fd659d1e207caa94c7f92d584d256a5090dd5d81369e8fe67b8cc89b87199084aa42e20a,0x8bcf965a2fff260823c7c330d8ce65bc499152d87fb93c1357a513d4566e35f45ae79eba142b96fed851cdadcf7e1bb4,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,888144,4901428636254709,11,19145533,1706935321828,1706935321,bloxroute_regulated,,2828,4903812586254709,
4,8342609,0xb7edb6512ee0b1319868ca798b6749ba786cbb38ac7c7e60ce47ab5e9efe3bf2,0xcdc94cc117b687bf42226551ae5729a24aea34c5faa591f005fb0c72860d5b94,0xa9bd259c09a526915575d096fd659d1e207caa94c7f92d584d256a5090dd5d81369e8fe67b8cc89b87199084aa42e20a,0x8bcf965a2fff260823c7c330d8ce65bc499152d87fb93c1357a513d4566e35f45ae79eba142b96fed851cdadcf7e1bb4,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,888144,4901428636254709,11,19145533,1706935321829,1706935321,bloxroute_max_profit,,2829,4903812586254709,
5,8342609,0xb7edb6512ee0b1319868ca798b6749ba786cbb38ac7c7e60ce47ab5e9efe3bf2,0x2687f5aed4ff868a0c37aa17ad6079b2f5bef1d3f67e953effcd0cb7e210c197,0xa412c4b805440c136826ddc569ffbf4539f0f89bf2801678250b683adbed090b292ea76e04909e4f2cd86ca4883b9504,0x8bcf965a2fff260823c7c330d8ce65bc499152d87fb93c1357a513d4566e35f45ae79eba142b96fed851cdadcf7e1bb4,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,3578071,5008221798436040,48,19145533,1706935321858,1706935321,bloxroute_max_profit,,2858,5008221798436040,
6,8342609,0xb7edb6512ee0b1319868ca798b6749ba786cbb38ac7c7e60ce47ab5e9efe3bf2,0x2687f5aed4ff868a0c37aa17ad6079b2f5bef1d3f67e953effcd0cb7e210c197,0xa412c4b805440c136826ddc569ffbf4539f0f89bf2801678250b683adbed090b292ea76e04909e4f2cd86ca4883b9504,0x8bcf965a2fff260823c7c330d8ce65bc499152d87fb93c1357a513d4566e35f45ae79eba142b96fed851cdadcf7e1bb4,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,3578071,5008221798436040,48,19145533,1706935321859,1706935321,bloxroute_regulated,,2859,5008221798436040,
7,8342609,0xb7edb6512ee0b1319868ca798b6749ba786cbb38ac7c7e60ce47ab5e9efe3bf2,0x8c6c074d3906aef67ca9cde6bda46f32c90284ac27f6170e7de68d7cf931c466,0xa9bd259c09a526915575d096fd659d1e207caa94c7f92d584d256a5090dd5d81369e8fe67b8cc89b87199084aa42e20a,0x8bcf965a2fff260823c7c330d8ce65bc499152d87fb93c1357a513d4566e35f45ae79eba142b96fed851cdadcf7e1bb4,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,896580,4904161786254709,11,19145533,1706935321949,1706935321,bloxroute_regulated,,2949,5008221798436040,
8,8342609,0xb7edb6512ee0b1319868ca798b6749ba786cbb38ac7c7e60ce47ab5e9efe3bf2,0x8c6c074d3906aef67ca9cde6bda46f32c90284ac27f6170e7de68d7cf931c466,0xa9bd259c09a526915575d096fd659d1e207caa94c7f92d584d256a5090dd5d81369e8fe67b8cc89b87199084aa42e20a,0x8bcf965a2fff260823c7c330d8ce65bc499152d87fb93c1357a513d4566e35f45ae79eba142b96fed851cdadcf7e1bb4,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,896580,4904161786254709,11,19145533,1706935321950,1706935321,bloxroute_max_profit,,2950,5008221798436040,
9,8342609,0xb7edb6512ee0b1319868ca798b6749ba786cbb38ac7c7e60ce47ab5e9efe3bf2,0x1d45749c5a98b31f1b39869bc8290306bbaa66a71f42617b162f1cc19defc127,0xa9bd259c09a526915575d096fd659d1e207caa94c7f92d584d256a5090dd5d81369e8fe67b8cc89b87199084aa42e20a,0x8bcf965a2fff260823c7c330d8ce65bc499152d87fb93c1357a513d4566e35f45ae79eba142b96fed851cdadcf7e1bb4,0x7e2a2FA2a064F693f0a55C5639476d913Ff12D05,30000000,896508,4903812586254709,11,19145533,1706935321951,1706935321,bloxroute_regulated,,2951,5008221798436040,
